user_id,first_name,last_name,email,phone_number,address,account_number,account_balance,transaction_id,transaction_date,description,amount,transaction_mode,amount_left
1,John,Doe,johndoe@email.com,(123) 456-7890,123 Main St,1234567890,5000.00,1,2023-01-01,Deposit,2000.00,Card,7000.00
1,John,Doe,johndoe@email.com,(123) 456-7890,123 Main St,1234567890,7000.00,2,2023-01-03,Withdrawal,1500.00,Online,5500.00
2,Jane,Smith,janesmith@email.com,(987) 654-3210,456 Elm St,2345678901,7500.00,3,2023-09-03,Deposit,2500.00,Cheque,10000.00
2,Jane,Smith,janesmith@email.com,(987) 654-3210,456 Elm St,2345678901,10000.00,4,2023-09-04,Withdrawal,2000.00,Card,8000.00
3,Michael,Johnson,michaeljohnson@email.com,(555) 123-4567,789 Oak St,3456789012,3000.00,5,2023-06-05,Deposit,1000.00,Online,4000.00
3,Michael,Johnson,michaeljohnson@email.com,(555) 123-4567,789 Oak St,3456789012,4000.00,6,2023-07-06,Withdrawal,700.00,Cheque,3300.00
4,Emily,Williams,emilywilliams@email.com,(777) 888-9999,101 Pine St,4567890123,6000.00,7,2022-05-07,Deposit,1500.00,Card,7500.00
4,Emily,Williams,emilywilliams@email.com,(777) 888-9999,101 Pine St,4567890123,7500.00,8,2022-09-08,Withdrawal,2500.00,Online,5000.00
5,David,Brown,davidbrown@email.com,(222) 333-4444,202 Cedar St,5678901234,4000.00,9,2023-09-09,Deposit,1000.00,Cheque,5000.00
5,David,Brown,davidbrown@email.com,(222) 333-4444,202 Cedar St,5678901234,5000.00,10,2023-01-10,Withdrawal,1500.00,Card,3500.00
6,Sarah,Lee,sarahlee@email.com,(111) 222-3333,303 Birch St,6789012345,9000.00,11,2023-01-11,Deposit,3000.00,Online,12000.00
6,Sarah,Lee,sarahlee@email.com,(111) 222-3333,303 Birch St,6789012345,12000.00,12,2023-01-12,Withdrawal,2000.00,Cheque,10000.00
7,Robert,Miller,robertmiller@email.com,(999) 888-7777,404 Maple St,7890123456,3500.00,13,2023-09-13,Deposit,1200.00,Card,4700.00
7,Robert,Miller,robertmiller@email.com,(999) 888-7777,404 Maple St,7890123456,4700.00,14,2023-12-31,Withdrawal,800.00,Online,3900.00
8,Elizabeth,Anderson,elizabeth@email.com,(777) 666-5555,505 Redwood St,8901234567,8000.00,15,2023-06-15,Deposit,2000.00,Cheque,10000.00
8,Elizabeth,Anderson,elizabeth@email.com,(777) 666-5555,505 Redwood St,8901234567,10000.00,16,2022-06-16,Withdrawal,2500.00,Card,7500.00
9,William,Wilson,williamwilson@email.com,(444) 555-6666,606 Magnolia St,9012345678,5500.00,17,2023-02-17,Deposit,900.00,Online,6400.00
9,William,Wilson,williamwilson@email.com,(444) 555-6666,606 Magnolia St,9012345678,6400.00,18,2023-03-18,Withdrawal,750.00,Cheque,5650.00
10,Linda,Jackson,lindajackson@email.com,(888) 999-7777,707 Birch St,1234567891,7200.00,19,2023-12-19,Deposit,2800.00,Card,10000.00
10,Linda,Jackson,lindajackson@email.com,(888) 999-7777,707 Birch St,1234567891,10000.00,20,2023-12-31,Withdrawal,3500.00,Online,6500.00
